,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
162,MA Vermeulen (ZIM),2002-2004,3,18,24.0,79,30.85,71.64,0.0,0.2222222222222222,0.10945273631840796,RS
163,G Gambhir (INDIA),2003-2006,4,16,25.5625,103,25.56,75.88,0.0625,0.0625,0.11688311688311688,NRS
164,AM Rahane (INDIA),2011-2013,3,16,25.25,91,25.25,72.66,0.0,0.125,0.07913669064748201,RS
165,AM Blignaut (ZIM),2001-2003,3,20,19.05,63,22.41,112.38,0.0,0.2,0.14749262536873156,NRS
166,A Bagai (CAN),2003-2007,5,19,18.736842105263158,64,22.25,55.53,0.0,0.15789473684210525,0.0608424336973479,NRS
167,AG Cremer (ZIM),2009-2011,3,28,11.285714285714285,37,16.63,63.32,0.0,0.0,0.052104208416833664,NRS
168,Samiullah Shenwari (AFG),2009-2011,3,12,25.0,82,30.0,69.12,0.0,0.16666666666666666,0.06451612903225806,NRS
169,OA Shah (ENG),2001-2003,3,15,18.866666666666667,62,21.76,65.96,0.0,0.13333333333333333,0.046620046620046623,NRS
170,CS MacLeod (SCOT),2011-2013,3,12,22.75,99,24.81,60.0,0.0,0.08333333333333333,0.04615384615384616,NRS
171,PW Borren (NL),2006-2008,3,17,15.470588235294118,96,15.47,91.63,0.0,0.05882352941176471,0.0940766550522648,NRS
172,TT Bresnan (ENG),2006-2009,4,14,18.071428571428573,80,31.62,95.47,0.0,0.07142857142857142,0.11320754716981132,NRS
173,LMP Simmons (WI),2006-2009,4,14,17.714285714285715,70,20.66,57.8,0.0,0.14285714285714285,0.06526806526806526,NRS
174,Al Sahariar (BDESH),2001-2003,3,22,11.181818181818182,59,11.18,52.67,0.0,0.045454545454545456,0.0728051391862955,NRS
175,MJ Prior (ENG),2004-2006,3,12,20.0,45,20.0,70.79,0.0,0.0,0.112094395280236,NRS
176,GEF Barnett (CAN),2006-2008,3,12,18.916666666666668,77,18.91,57.17,0.0,0.08333333333333333,0.07052896725440806,NRS
177,PL Mommsen (SCOT),2010-2012,3,11,19.0,80,19.0,51.73,0.0,0.09090909090909093,0.04455445544554455,NRS
178,Z Khan (INDIA),2001-2003,3,30,6.5,34,9.28,64.35,0.0,0.0,0.06930693069306931,NRS
179,SP Narine (WI),2011-2013,3,19,10.0,36,11.87,83.33,0.0,0.0,0.10087719298245612,NRS
180,Sohail Tanvir (PAK),2007-2009,3,18,10.111111111111109,59,14.0,95.78,0.0,0.05555555555555555,0.1,NRS
181,TC Bastiampillai (CAN),2007-2010,4,11,14.818181818181818,49,14.81,63.42,0.0,0.0,0.10505836575875488,NRS
182,U Bhatti (CAN),2006-2008,3,17,9.588235294117649,22,13.58,79.9,0.0,0.0,0.0784313725490196,NRS
183,Sarfraz Ahmed (PAK),2008-2012,5,11,13.818181818181818,46,21.71,68.46,0.0,0.0,0.027027027027027032,NRS
184,R Clarke (ENG),2003-2006,4,13,11.076923076923077,39,11.07,62.06,0.0,0.0,0.05603448275862069,NRS
185,CR Woakes (ENG),2011-2013,3,10,14.1,36,23.5,73.43,0.0,0.0,0.052083333333333336,NRS
186,HA Varaiya (KENYA),2006-2009,4,20,6.5,34,13.0,47.44,0.0,0.0,0.021897810218978103,NRS
187,DR Tuffey (NZ),2001-2003,3,28,4.464285714285714,20,7.81,61.88,0.0,0.0,0.06435643564356436,NRS
188,JK Kamande (KENYA),2001-2003,3,10,11.7,32,16.71,48.75,0.0,0.0,0.05833333333333333,NRS
189,RT Lyons (SCOT),2006-2009,4,10,8.6,28,28.66,61.42,0.0,0.0,0.057142857142857134,NRS
190,SI Mahmood (ENG),2004-2006,3,11,7.545454545454546,22,9.22,86.45,0.0,0.0,0.09375,NRS
191,SO Ngoche (KENYA),2010-2013,4,10,5.9,28,7.37,52.21,0.0,0.0,0.035398230088495575,NRS
192,JO Ngoche (KENYA),2010-2012,3,10,3.4,21,4.85,40.96,0.0,0.0,0.024096385542168683,NRS
193,KMDN Kulasekara (SL),2003-2007,5,11,3.0,11,6.6,34.73,0.0,0.0,0.010526315789473684,NRS
194,MM Patel (INDIA),2006-2008,3,11,2.9090909090909087,15,5.33,53.33,0.0,0.0,0.05,NRS
195,S Sreesanth (INDIA),2005-2008,4,13,2.230769230769231,10,4.14,34.52,0.0,0.0,0.011904761904761904,NRS
196,Mohammad Asif (Asia/PAK),2005-2007,3,10,2.8,6,4.66,37.83,0.0,0.0,0.027027027027027032,NRS
197,Shapoor Zadran (AFG),2009-2012,4,10,2.0,17,4.0,40.81,0.0,0.0,0.061224489795918366,NRS
198,DPMD Jayawardene (SL),2001-2003,3,78,29.14102564102564,116,32.47,72.64,0.038461538461538464,0.14102564102564102,0.06072227548737616,NRS
199,Younis Khan (PAK),2001-2003,3,74,28.756756756756765,90,34.32,74.66,0.0,0.2432432432432433,0.06035087719298245,NRS
200,KC Sangakkara (SL),2001-2003,3,76,23.52631578947368,103,26.68,70.0,0.02631578947368421,0.09210526315789473,0.07086922474549726,NRS
201,HH Dippenaar (SA),2001-2003,3,42,37.476190476190474,93,44.97,66.07,0.0,0.3333333333333333,0.06675062972292191,NRS
202,KP Pietersen (ENG/ICC),2004-2006,3,27,46.96296296296296,116,60.38,97.16,0.1111111111111111,0.3333333333333333,0.11877394636015325,RS
203,A Flintoff (ENG),2001-2003,3,43,27.255813953488367,70,33.48,90.57,0.0,0.20930232558139536,0.1143740340030912,RS
204,DA Warner (AUS),2009-2012,4,34,30.882352941176467,163,30.88,81.83,0.05882352941176471,0.14705882352941174,0.09275136399064693,RS
205,D Mongia (INDIA),2001-2003,3,41,24.36585365853659,159,27.75,73.13,0.024390243902439025,0.07317073170731707,0.08272327964860908,RS
206,TLW Cooper (NL),2010-2012,3,19,48.21052631578947,101,53.88,71.0,0.05263157894736842,0.42105263157894735,0.06356589147286823,NRS
207,DA Gunawardene (SL),2001-2003,3,23,28.39130434782609,90,28.39,65.89,0.0,0.17391304347826084,0.07366296670030273,NRS
